dataset,0.60,0.65,0.70,0.75,0.80,0.85,0.90,0.95
medlfqav2_conditional,0.742 ± 0.006,0.742 ± 0.006,0.747 ± 0.006,0.758 ± 0.006,0.800 ± 0.006,0.850 ± 0.005,0.900 ± 0.004,0.951 ± 0.003
medlfqav2_conditional,0.742 ± 0.006,0.742 ± 0.006,0.747 ± 0.006,0.758 ± 0.006,0.800 ± 0.006,0.850 ± 0.005,0.900 ± 0.004,0.951 ± 0.003
